"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3259","opencart","chromium","Tue May 20 16:25:17 IST 2025","passed","Tue May 20 16:25:21 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","2253","page screenshots","chromium","Tue May 20 16:25:40 IST 2025","passed","Tue May 20 16:25:42 IST 2025","","Screenshots\screenshoot.spec.js","",""
"","2767","Element screenshots","chromium","Tue May 20 16:25:41 IST 2025","passed","Tue May 20 16:25:44 IST 2025","","Screenshots\screenshoot.spec.js","",""
"","3630","qaclickacademy","chromium","Tue May 20 16:25:36 IST 2025","passed","Tue May 20 16:25:39 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","6300","RadioButtons","chromium","Tue May 20 16:25:37 IST 2025","passed","Tue May 20 16:25:43 IST 2025","","RadioButtons\RadioButtons.spec.js","",""
"","10198","reecrm","chromium","Tue May 20 16:25:28 IST 2025","passed","Tue May 20 16:25:38 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","2490","signgin","chromium","Tue May 20 16:25:12 IST 2025","passed","Tue May 20 16:25:14 IST 2025","","Locators\Locatorss.spec.js","",""
"","4019","Test2","chromium","Tue May 20 16:25:38 IST 2025","passed","Tue May 20 16:25:42 IST 2025","","Reports\reports.spec.js","",""
"","6402","Full page screenshots","chromium","Tue May 20 16:25:42 IST 2025","passed","Tue May 20 16:25:49 IST 2025","","Screenshots\Ss1.spec.js","",""
"","10405","enter the Email","chromium","Tue May 20 16:24:29 IST 2025","passed","Tue May 20 16:24:40 IST 2025","","Alerstss\caseStudy2.spec.js","",""
"","2019","has title","chromium","Tue May 20 16:24:57 IST 2025","passed","Tue May 20 16:24:59 IST 2025","","example.spec.js","",""
"","18244","Hidden Dropdown Test","chromium","Tue May 20 16:24:49 IST 2025","passed","Tue May 20 16:25:07 IST 2025","","DropDown\Hidden.spec.js","",""
"","3701","halfebay","chromium","Tue May 20 16:25:28 IST 2025","passed","Tue May 20 16:25:32 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","25583","date day month","chromium","Tue May 20 16:24:48 IST 2025","passed","Tue May 20 16:25:13 IST 2025","","DropDown\DropDownCaseStudy.spec.js","",""
"","354","Login","chromium","Tue May 20 16:25:07 IST 2025","passed","Tue May 20 16:25:08 IST 2025","","Locators\BuildInLocators1.spec.js","",""
"","6096","Assertions Test","chromium","Tue May 20 16:24:40 IST 2025","passed","Tue May 20 16:24:46 IST 2025","","Assertionss\Assertions.spec.js","",""
"","1736","get started link","chromium","Tue May 20 16:24:59 IST 2025","passed","Tue May 20 16:25:01 IST 2025","","example.spec.js","",""
"","6249","Link and products","chromium","Tue May 20 16:25:08 IST 2025","passed","Tue May 20 16:25:14 IST 2025","","Locators\LinksAndProducts.spec.js","",""
"","1234","leafground","chromium","Tue May 20 16:25:19 IST 2025","passed","Tue May 20 16:25:21 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","13148","JS Prompt","chromium","Tue May 20 16:24:29 IST 2025","failed","Tue May 20 16:24:42 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","Alerstss\Alerts.spec.js","",""
"","6402","Element screenshots","chromium","Tue May 20 16:25:43 IST 2025","passed","Tue May 20 16:25:49 IST 2025","","Screenshots\Ss1.spec.js","",""
"","8375","List Drop Down","chromium","Tue May 20 16:24:43 IST 2025","passed","Tue May 20 16:24:51 IST 2025","","DropDown\drop.spec.js","",""
"","8358","echoecho","chromium","Tue May 20 16:25:21 IST 2025","passed","Tue May 20 16:25:29 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","16275","Checkbox - In Playwright","chromium","Tue May 20 16:24:41 IST 2025","passed","Tue May 20 16:24:57 IST 2025","","CheckBoxs\CheckBoxes.spec.js","",""
"","6017","fileHosting","chromium","Tue May 20 16:25:27 IST 2025","passed","Tue May 20 16:25:33 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","3484","signgin","chromium","Tue May 20 16:25:14 IST 2025","passed","Tue May 20 16:25:17 IST 2025","","Locators\samole.spec.js","",""
"","1156","leafground1","chromium","Tue May 20 16:25:28 IST 2025","passed","Tue May 20 16:25:29 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","9612","popup demo playwright","chromium","Tue May 20 16:24:29 IST 2025","failed","Tue May 20 16:24:39 IST 2025","","Alerstss\CaseStudy.spec.js","",""
"","9055","Login functionality of the practice website by using the locators","chromium","Tue May 20 16:25:14 IST 2025","passed","Tue May 20 16:25:23 IST 2025","","PracticeTestCases\CaseStudy.spec.js","",""
"","3932","Test3","chromium","Tue May 20 16:25:39 IST 2025","passed","Tue May 20 16:25:43 IST 2025","","Reports\reports.spec.js","",""
"","3039","enter the password","chromium","Tue May 20 16:24:38 IST 2025","passed","Tue May 20 16:24:41 IST 2025","","Alerstss\caseStudy2.spec.js","",""
"","7721","JS Alert - Validate Alert Test and Clik OK","chromium","Tue May 20 16:24:29 IST 2025","passed","Tue May 20 16:24:37 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","Alerstss\Alerts.spec.js","",""
"","30351","Multiselect DropDown","chromium","Tue May 20 16:24:51 IST 2025","broken","Tue May 20 16:25:22 IST 2025","","DropDown\multiselect.spec.js","",""
"","2361","Checking the browser Title","chromium","Tue May 20 16:24:38 IST 2025","passed","Tue May 20 16:24:41 IST 2025","","Assertionss\A.spec.js","",""
"","3296","rediff","chromium","Tue May 20 16:25:23 IST 2025","passed","Tue May 20 16:25:26 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","2869","checking the url and title of the page","chromium","Tue May 20 16:25:21 IST 2025","passed","Tue May 20 16:25:24 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","30178","Case Study Drop Down","chromium","Tue May 20 16:24:46 IST 2025","broken","Tue May 20 16:25:17 IST 2025","","DropDown\DropDownCaseStudy1.spec.js","",""
"","3228","Test1","chromium","Tue May 20 16:25:38 IST 2025","passed","Tue May 20 16:25:41 IST 2025","","Reports\reports.spec.js","",""
"","15095","Bootstrap drop down","chromium","Tue May 20 16:24:46 IST 2025","passed","Tue May 20 16:25:01 IST 2025","","DropDown\BootStrap.spec.js","",""
"","7702","Auto Suggested Drop Down","chromium","Tue May 20 16:24:41 IST 2025","passed","Tue May 20 16:24:49 IST 2025","","DropDown\AutoSuggested.spec.js","",""
"","5086","Radio buttons","chromium","Tue May 20 16:25:34 IST 2025","passed","Tue May 20 16:25:39 IST 2025","","RadioButtons\Radio.spec.js","",""
"","7677","JS Alert - Validate Confirm Test and Click Cancel","chromium","Tue May 20 16:24:29 IST 2025","passed","Tue May 20 16:24:37 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","Alerstss\Alerts.spec.js","",""
"","2282","iframes","chromium","Tue May 20 16:25:01 IST 2025","failed","Tue May 20 16:25:03 IST 2025","","iframe\iframes.spec.js","",""
"","3584","Face Book Login","chromium","Tue May 20 16:25:35 IST 2025","passed","Tue May 20 16:25:38 IST 2025","","RadioButtons\Radio.spec.js","",""
"","4840","opensource","chromium","Tue May 20 16:25:32 IST 2025","passed","Tue May 20 16:25:37 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","6864","tizag","chromium","Tue May 20 16:25:21 IST 2025","passed","Tue May 20 16:25:28 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","2588","Full page screenshots","chromium","Tue May 20 16:25:40 IST 2025","passed","Tue May 20 16:25:43 IST 2025","","Screenshots\screenshoot.spec.js","",""
"","1840","only-testing-blog.blogspot.com","chromium","Tue May 20 16:25:33 IST 2025","passed","Tue May 20 16:25:35 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","4082","Automation","chromium","Tue May 20 16:25:23 IST 2025","passed","Tue May 20 16:25:27 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","6064","Register Ebay Website","chromium","Tue May 20 16:25:08 IST 2025","failed","Tue May 20 16:25:14 IST 2025","","Locators\BuildInLocators1.spec.js","",""
"","737","alaskatrips","chromium","Tue May 20 16:25:29 IST 2025","failed","Tue May 20 16:25:30 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","4199","Checking the browser url","chromium","Tue May 20 16:24:38 IST 2025","passed","Tue May 20 16:24:43 IST 2025","","Assertionss\A.spec.js","",""
"","9033","Salesforce","chromium","Tue May 20 16:25:25 IST 2025","passed","Tue May 20 16:25:34 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","10381","Build in locators","chromium","Tue May 20 16:25:01 IST 2025","passed","Tue May 20 16:25:12 IST 2025","","Locators\BuildInLocators.spec.js","",""
"","7990","JS Alert - Validate Confirm Test and Click OK","chromium","Tue May 20 16:24:29 IST 2025","passed","Tue May 20 16:24:37 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","Alerstss\Alerts.spec.js","",""
"","885","Bing","chromium","Tue May 20 16:25:27 IST 2025","passed","Tue May 20 16:25:28 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","9284","saucelabs","chromium","Tue May 20 16:25:31 IST 2025","passed","Tue May 20 16:25:40 IST 2025","","PracticeTestCases\Url-Title.spec.js","",""
"","4845","Login functionality of the automation website by using the locators","chromium","Tue May 20 16:25:14 IST 2025","passed","Tue May 20 16:25:19 IST 2025","","PracticeTestCases\CaseStudy.spec.js","",""
"","5761","page screenshots","chromium","Tue May 20 16:25:42 IST 2025","passed","Tue May 20 16:25:48 IST 2025","","Screenshots\Ss1.spec.js","",""
